severity	classification	document	kind	target	resolved	disposition	reason
warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:75	code span	sliceNN-<slug>/ledger.md	collaboration-framework/docs/pm/sliceNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:97	code span	sliceNN-<slug>/	collaboration-framework/docs/pm/sliceNN-<slug>	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:97	code span	projectNN-<slug>/	collaboration-framework/docs/pm/projectNN-<slug>	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:124	code span	sliceNN-<slug>/	collaboration-framework/docs/pm/sliceNN-<slug>	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/CODE-AUDIT.md:4	code span	knowledge/<slug>/	collaboration-framework/docs/knowledge/<slug>	-	repo-only/provenance path requires explicit exception
warning	source-clone-reference	docs/CODE-AUDIT.md:24	code span	README.md	collaboration-framework/docs/README.md	-	target exists only in source clone
warning	repo-only/provenance	docs/CODE-AUDIT.md:25	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/CODE-AUDIT.md:52	code span	knowledge/<slug>/	collaboration-framework/docs/knowledge/<slug>	-	repo-only/provenance path requires explicit exception
explicit exception	repo-only/provenance	docs/CODE-AUDIT.md:63	code span	knowledge/<slug>/SKILL*.md	collaboration-framework/docs/knowledge/<slug>/SKILL*.md	explicit-exception	placeholder for source-clone skill discovery, not a literal bundled package path
warning	repo-only/provenance	docs/CODE-AUDIT.md:66	code span	knowledge/<slug>/guides/	collaboration-framework/docs/knowledge/<slug>/guides	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/CODE-AUDIT.md:220	code span	workbench/<DATE>-audit-index.md	collaboration-framework/docs/workbench/<DATE>-audit-index.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/CODE-AUDIT.md:225	code span	knowledge/<slug>/	collaboration-framework/docs/knowledge/<slug>	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/CODE-AUDIT.md:242	code span	workbench/<DATE>-audit-modernization-synthesis.md	collaboration-framework/docs/workbench/<DATE>-audit-modernization-synthesis.md	-	repo-only/provenance path requires explicit exception
warning	source-clone-reference	docs/CODE-AUDIT.md:347	code span	knowledge/rust/guides/11-anti-patterns.md	collaboration-framework/docs/knowledge/rust/guides/11-anti-patterns.md	-	target exists only in source clone
warning	source-clone-reference	docs/AI-ENGINEERING-METHODOLOGY.md:320	inline link	./dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	collaboration-framework/docs/dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	-	target exists only in source clone
warning	bundled-reference	docs/AI-ENGINEERING-METHODOLOGY.md:132	code span	SKILL.md	collaboration-framework/docs/SKILL.md	transitional-warning	bundled framework document currently uses source-root path; Arc 02 will harmonise source or staging paths
warning	source-clone-reference	docs/AI-ENGINEERING-METHODOLOGY.md:320	code span	./dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	collaboration-framework/docs/dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	-	target exists only in source clone
warning	repo-only/provenance	docs/AI-ENGINEERING-METHODOLOGY.md:430	code span	docs/design-vX.Y.Z/arcNN-<slug>/sliceNN-<slug>/	collaboration-framework/docs/docs/design-vX.Y.Z/arcNN-<slug>/sliceNN-<slug>	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/AI-ENGINEERING-METHODOLOGY.md:430	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/PROJECT-MANAGEMENT.md:107	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/SUBAGENT-DELEGATION-POLICY.md:46	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/SUBAGENT-DELEGATION-POLICY.md:48	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	example-project path	docs/SUBAGENT-DELEGATION-POLICY.md:58	code span	~/.claude/CLAUDE.md	collaboration-framework/docs/~/.claude/CLAUDE.md	-	example-like path requires explicit exception
warning	repo-only/provenance	docs/SUBAGENT-DELEGATION-POLICY.md:64	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/SUBAGENT-DELEGATION-POLICY.md:66	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/SUBAGENT-DELEGATION-POLICY.md:108	code span	crates/**/*.rs	collaboration-framework/docs/crates/**/*.rs	-	repo-only/provenance path requires explicit exception
warning	source-clone-reference	SKILL.md:346	inline link	./knowledge/	collaboration-framework/knowledge	-	target exists only in source clone
warning	repo-only/provenance	SKILL.md:328	code span	knowledge/<slug>/	collaboration-framework/knowledge/<slug>	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	SKILL.md:330	code span	CLAUDE.md	collaboration-framework/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	SKILL.md:330	code span	AGENTS.md	collaboration-framework/AGENTS.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	SKILL.md:336	code span	CLAUDE.md	collaboration-framework/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	SKILL.md:336	code span	AGENTS.md	collaboration-framework/AGENTS.md	-	repo-only/provenance path requires explicit exception
warning	example-project path	SKILL.md:338	code span	~/.claude/CLAUDE.md	collaboration-framework/~/.claude/CLAUDE.md	-	example-like path requires explicit exception
warning	repo-only/provenance	SKILL.md:407	code span	CLAUDE.md	collaboration-framework/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	SKILL.md:407	code span	AGENTS.md	collaboration-framework/AGENTS.md	-	repo-only/provenance path requires explicit exception
explicit exception	repo-only/provenance	SKILL.md:439	code span	knowledge/<domain>/SKILL.md	collaboration-framework/knowledge/<domain>/SKILL.md	explicit-exception	placeholder for source-clone domain skill layout, not a literal bundled package path
warning	repo-only/provenance	templates/LEDGER-DISCIPLINE.md:279	code span	$PROJECT_DIR/.worktrees/planning/projectNN-<slug>/arcNN-<slug>/sliceNN-<slug>/ledger.md	collaboration-framework/templates/$PROJECT_DIR/.worktrees/planning/projectNN-<slug>/arcNN-<slug>/sliceNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	templates/LEDGER-DISCIPLINE.md:528	code span	sliceNN-<slug>/artifacts/	collaboration-framework/templates/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	templates/LEDGER-DISCIPLINE.md:581	code span	arcNN-<slug>/sliceNN-<slug>/ledger.md	collaboration-framework/templates/arcNN-<slug>/sliceNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
